class,subclass
Q2839017,Q14914942
Q2839017,Q3526877
Q2839017,Q1134564
Q9637047,Q9637047
Q2731013,Q2731013
Q36963,Q36963
Q36963,Q14373
Q36963,Q20657
Q36963,Q34168
Q36963,Q133333
Q36963,Q211011
Q36963,Q458304
Q36963,Q575439
Q36963,Q640682
Q36963,Q849944
Q36963,Q1021136
Q36963,Q1025479
Q36963,Q1281130
Q36963,Q1455737
Q36963,Q1502014
Q36963,Q1616353
Q36963,Q1627899
Q36963,Q2068524
Q36963,Q2902218
Q36963,Q2961375
Q36963,Q2961398
Q36963,Q3242878
Q36963,Q3435795
Q36963,Q3649281
Q36963,Q4103919
Q36963,Q4530682
Q36963,Q4868448
Q36963,Q4904849
Q36963,Q5312567
Q36963,Q5937807
Q36963,Q6555462
Q36963,Q7801524
Q36963,Q7855147
Q36963,Q8029925
Q36963,Q10725621
Q36963,Q11479931
Q36963,Q12302980
Q36963,Q12353775
Q36963,Q16933847
Q36963,Q16987800
Q36963,Q18293822
Q36963,Q19378594
Q36963,Q20025140
Q36963,Q20919519
Q36963,Q23041475
Q36963,Q25041463
Q36963,Q29515192
Q36963,Q55610063
Q36963,Q65210487
Q36963,Q73387631
Q36963,Q105685609
Q36963,Q109154449
Q36963,Q109546555
Q36963,Q110792233
Q36963,Q42767
Q36963,Q283534
Q36963,Q300892
Q36963,Q331828
Q36963,Q509699
Q36963,Q863904
Q36963,Q898886
Q36963,Q930179
Q36963,Q1194492
Q36963,Q1454671
Q36963,Q1485804
Q36963,Q1746784
Q36963,Q1784476
Q36963,Q1909305
Q36963,Q1983449
Q36963,Q2424901
Q36963,Q2515078
Q36963,Q2686913
Q36963,Q3951292
Q36963,Q4992238
Q36963,Q5102789
Q36963,Q5455050
Q36963,Q5455051
Q36963,Q5455054
Q36963,Q5455056
Q36963,Q5455067
Q36963,Q5455069
Q36963,Q6771872
Q36963,Q7262185
Q36963,Q7535947
Q36963,Q9029216
Q36963,Q10411757
Q36963,Q10512273
Q36963,Q10998454
Q36963,Q11202642
Q36963,Q11869191
Q36963,Q11876026
Q36963,Q11995896
Q36963,Q12048322
Q36963,Q13424325
Q36963,Q15991149
Q36963,Q16740130
Q36963,Q23582422
Q36963,Q58477572
Q36963,Q69529589
Q36963,Q85234047
Q36963,Q98742130
Q36963,Q102247875
Q36963,Q105215379
Q36963,Q106498189
Q36963,Q5549944
Q36963,Q15819950
Q36963,Q19595078
Q36963,Q4892040
Q36963,Q6896315
Q36963,Q429231
Q36963,Q108646713
Q36963,Q7898355
Q36963,Q8029921
Q36963,Q4412590
Q36963,Q1934603
Q36963,Q3512148
Q36963,Q5493838
Q36963,Q64765634
Q36963,Q7699903
Q36963,Q55610044
Q36963,Q3636043
Q36963,Q5455087
Q36963,Q3847604
Q36963,Q11462761
Q36963,Q814689
Q36963,Q5139936
Q36963,Q8000914
Q36963,Q19380101
Q36963,Q102228899
Q36963,Q102229062
Q36963,Q102231206
Q36963,Q102246257
Q36963,Q102365876
Q36963,Q102366066
Q36963,Q105281635
Q36963,Q105428101
Q36963,Q108646913
Q36963,Q102229207
Q36963,Q102231111
Q36963,Q5180240
Q36963,Q7504013
Q36963,Q3246964
Q36963,Q102229312
Q36963,Q102230897
Q36963,Q102230986
Q36963,Q102231024
Q36963,Q102231053
Q12406392,Q12406392
Q18564543,Q18564543
Q18564543,Q1563081
Q18564543,Q7157512
Q18564543,Q104829457
Q18564543,Q404405
Q94461968,Q94461968
Q24618255,Q24618255
Q4958902,Q4958902
Q22276119,Q22276119
Q56024035,Q56024035
Q26260402,Q26260402
Q26260402,Q19801853
Q26260402,Q24410897
Q26260402,Q60740537
Q26260402,Q60527676
Q76853179,Q76853179
Q76853179,Q3586949
Q76853179,Q5827551
Q76853179,Q17317594
Q76853179,Q22341298
Q76853179,Q24660195
Q22160593,Q22160593
Q98741945,Q98741945
Q98741945,Q98745410
Q98381912,Q98381912
Q20639925,Q20639925
Q94694487,Q94694487
Q106561513,Q106561513
Q68833,Q68833
Q68833,Q41392
Q68833,Q240856
Q68833,Q331873
Q68833,Q793710
Q68833,Q813680
Q68833,Q1458084
Q68833,Q1711139
Q68833,Q1711733
Q68833,Q1753467
Q68833,Q1939887
Q68833,Q1971607
Q68833,Q1974017
Q68833,Q2137193
Q68833,Q2365851
Q68833,Q2390477
Q68833,Q3080304
Q68833,Q3080308
Q68833,Q3752478
Q68833,Q3798631
Q68833,Q4118373
Q68833,Q4350502
Q68833,Q4350506
Q68833,Q4948376
Q68833,Q5068848
Q68833,Q5070742
Q68833,Q5097825
Q68833,Q5940721
Q68833,Q7049641
Q68833,Q7360596
Q68833,Q7577460
Q68833,Q11922682
Q68833,Q16620830
Q68833,Q25036697
Q68833,Q25036894
Q68833,Q25036896
Q68833,Q25036897
Q68833,Q30927439
Q68833,Q47524797
Q68833,Q54911877
Q68833,Q54912199
Q68833,Q54930822
Q68833,Q54943948
Q68833,Q55083281
Q68833,Q55093198
Q68833,Q55234470
Q68833,Q55789844
Q68833,Q56217799
Q68833,Q56217877
Q68833,Q56301149
Q68833,Q2898524
Q68833,Q5129816
Q68833,Q1652105
Q68833,Q5738951
Q68833,Q54973148
Q68833,Q27963445
Q68833,Q5317627
Q68833,Q20707195
Q68833,Q18394389
Q68833,Q47203842
Q68833,Q3080301
Q68833,Q6506923
Q68833,Q689210
Q68833,Q1765555
Q68833,Q1937676
Q68833,Q14702535
Q68833,Q54947033
Q68833,Q259716
Q68833,Q922425
Q68833,Q1368814
Q68833,Q2019348
Q68833,Q2052262
Q68833,Q2578777
Q68833,Q7644671
Q68833,Q1450827
Q68833,Q1552265
Q68833,Q1410873
Q68833,Q1680525
Q68833,Q2314265
Q68833,Q3080298
Q68833,Q4350503
Q68833,Q30904172
Q68833,Q180205
Q68833,Q1425788
Q68833,Q7812743
Q68833,Q1229341
Q68833,Q16831889
Q68833,Q60740499
Q68833,Q1758624
Q68833,Q2289642
Q68833,Q3538106
Q68833,Q5000637
Q68833,Q5139271
Q68833,Q5459010
Q68833,Q5879896
Q68833,Q7545383
Q68833,Q1946035
Q68833,Q5940646
Q68833,Q1229353
Q68833,Q2290085
Q68833,Q1543994
Q68833,Q1746068
Q68833,Q3377653
Q68833,Q1721216
Q68833,Q3572717
Q68833,Q3572829
Q68833,Q3752481
Q68833,Q16620827
Q68833,Q2028528
Q68833,Q2296062
Q68833,Q4913696
Q68833,Q7842131
Q68833,Q5587478
Q68833,Q7800447
Q68833,Q17112235
Q68833,Q30915033
Q68833,Q48785007
Q68833,Q14541230
Q68833,Q204995
Q68833,Q1147223
Q68833,Q2562064
Q68833,Q6047823
Q68833,Q21660742
Q68833,Q1664611
Q68833,Q4350504
Q68833,Q20164402
Q68833,Q20819984
Q68833,Q1568861
Q68833,Q5018671
Q68833,Q5104815
Q68833,Q6558813
Q68833,Q28501283
Q68833,Q72296483
Q68833,Q101244555
Q68833,Q2095600
Q68833,Q17142893
Q68833,Q2106574
Q68833,Q21028901
Q68833,Q4997333
Q68833,Q12728548
Q42378719,Q42378719
Q114953,Q114953
Q114953,Q125223
Q114953,Q384821
Q114953,Q818502
Q114953,Q839525
Q114953,Q852186
Q114953,Q883082
Q114953,Q1144913
Q114953,Q1550819
Q114953,Q2118956
Q114953,Q3055418
Q114953,Q3398781
Q114953,Q3505252
Q114953,Q3631225
Q114953,Q4339925
Q114953,Q7030575
Q114953,Q7625508
Q114953,Q11666058
Q114953,Q16186972
Q114953,Q16496265
Q114953,Q16517031
Q114953,Q17148765
Q114953,Q17153765
Q114953,Q21002488
Q114953,Q21639927
Q114953,Q30892676
Q114953,Q51159762
Q114953,Q106080621
Q114953,Q5958429
Q114953,Q2283583
Q114953,Q3026357
Q114953,Q16978219
Q114953,Q30750067
Q114953,Q3153685
Q114953,Q1478831
Q114953,Q3961700
Q114953,Q3961701
Q114953,Q3961704
Q114953,Q4706341
Q114953,Q6000438
Q114953,Q6001512
Q114953,Q6004646
Q114953,Q12043278
Q114953,Q30896856
Q114953,Q1275814
Q114953,Q21174754
Q114953,Q21175069
Q114953,Q21175308
Q114953,Q11829312
Q114953,Q11829313
Q114953,Q11829314
Q114953,Q55789965
Q114953,Q68854
Q114953,Q4068608
Q114953,Q5831691
Q114953,Q5831693
Q114953,Q5831695
Q114953,Q5831697
Q114953,Q6176926
Q114953,Q7920165
Q114953,Q55788313
Q114953,Q17154378
Q114953,Q21504884
Q114953,Q25377859
Q114953,Q30100108
Q114953,Q5603286
Q114953,Q571586
Q114953,Q1239242
Q114953,Q5861409
Q114953,Q6704731
Q114953,Q30749960
Q114953,Q65055622
Q114953,Q18386197
Q114953,Q21639963
Q114953,Q955948
Q114953,Q10715957
Q114953,Q12039088
Q114953,Q12042146
Q114953,Q30314302
Q114953,Q3053348
Q114953,Q4763268
Q114953,Q7107617
Q114953,Q100998649
Q114953,Q21733383
Q114953,Q21738185
Q114953,Q21751013
Q114953,Q21751044
Q114953,Q2625993
Q114953,Q12859169
Q114953,Q55790206
Q114953,Q11709813
Q114953,Q1548946
Q114953,Q5955085
Q114953,Q7440153
Q114953,Q1184752
Q114953,Q4890788
Q114953,Q4769699
Q114953,Q55790164
Q114953,Q110493745
Q114953,Q3264425
Q28545697,Q28545697
Q183482,Q183482
Q48426334,Q48426334
Q898830,Q898830
Q898830,Q376596
Q898830,Q657449
Q898830,Q751982
Q898830,Q784360
Q898830,Q1310322
Q898830,Q1331385
Q898830,Q1847746
Q898830,Q2694643
Q898830,Q2787772
Q898830,Q2946405
Q898830,Q3922366
Q898830,Q6000326
Q898830,Q8422162
Q898830,Q10269946
Q898830,Q11433354
Q898830,Q11589683
Q898830,Q11942845
Q898830,Q14404796
Q898830,Q43792381
Q898830,Q54882043
Q898830,Q61943417
Q898830,Q110245716
Q898830,Q208704
Q898830,Q51404
Q898830,Q358576
Q898830,Q1117946
Q898830,Q1413045
Q898830,Q1472255
Q898830,Q1568076
Q898830,Q1572731
Q898830,Q1734134
Q898830,Q1962255
Q898830,Q2873953
Q898830,Q3010369
Q898830,Q3043178
Q898830,Q4942772
Q898830,Q5281177
Q898830,Q5495352
Q898830,Q7099782
Q898830,Q7227436
Q898830,Q10394367
Q898830,Q11378372
Q898830,Q11608012
Q898830,Q11960275
Q898830,Q12056872
Q898830,Q13454063
Q898830,Q14806537
Q898830,Q17014215
Q898830,Q19562604
Q898830,Q20948892
Q898830,Q28052871
Q898830,Q28469958
Q898830,Q33093659
Q898830,Q97307251
Q898830,Q110733760
Q898830,Q11614282
Q898830,Q6112431
Q898830,Q23657067
Q898830,Q23657075
Q898830,Q106078186
Q898830,Q110245212
Q898830,Q110245408
Q898830,Q564478
Q898830,Q829768
Q898830,Q836738
Q898830,Q1255251
Q898830,Q4816014
Q898830,Q4892460
Q898830,Q4922330
Q898830,Q4968978
Q898830,Q5035518
Q898830,Q5035639
Q898830,Q5121403
Q898830,Q5327560
Q898830,Q5629055
Q898830,Q6457810
Q898830,Q6630631
Q898830,Q6672304
Q898830,Q6728070
Q898830,Q6815393
Q898830,Q6840806
Q898830,Q6904305
Q898830,Q7242731
Q898830,Q7242733
Q898830,Q7242773
Q898830,Q7242784
Q898830,Q7242791
Q898830,Q7306874
Q898830,Q7413706
Q898830,Q7589672
Q898830,Q7633517
Q898830,Q7902389
Q898830,Q16467590
Q898830,Q16841169
Q898830,Q16850489
Q898830,Q16979257
Q898830,Q17017230
Q898830,Q17023293
Q898830,Q17056240
Q898830,Q17512396
Q898830,Q19365525
Q898830,Q20709277
Q898830,Q24190332
Q898830,Q25104624
Q898830,Q28449529
Q898830,Q29561166
Q898830,Q30675417
Q898830,Q30905514
Q898830,Q42377496
Q898830,Q55075493
Q898830,Q62839381
Q898830,Q64605573
Q898830,Q64876314
Q898830,Q74541288
Q898830,Q85794472
Q898830,Q85816294
Q898830,Q85846981
Q898830,Q107177091
Q898830,Q11960442
Q898830,Q657438
Q898830,Q22947792
Q898830,Q29032653
Q898830,Q105658571
Q898830,Q47491518
Q898830,Q1231564
Q898830,Q13103474
Q898830,Q772257
Q898830,Q30922066
Q898830,Q101086122
Q898830,Q11514338
Q898830,Q3107744
Q898830,Q55631298
Q898830,Q11953147
Q898830,Q2066411
Q898830,Q4812461
Q898830,Q6050412
Q898830,Q16995927
Q898830,Q16773134
Q1480879,Q1480879
Q1480879,Q16682549
Q2039061,Q2039061
Q493177,Q493177
Q493177,Q10851365
Q493177,Q43750924
Q32680449,Q32680449
Q1440340,Q1440340
Q1440340,Q29584730
Q1440340,Q29584733
Q582956,Q582956
Q2715541,Q2715541
Q25367878,Q25367878
Q22980727,Q22980727
Q22980727,Q106129117
Q5690823,Q5690823
Q14864709,Q14864709
Q4055822,Q4055822
Q48802726,Q48802726
Q22269206,Q22269206
Q2406205,Q2406205
Q22266583,Q22266583
Q26001232,Q26001232
Q1189842,Q1189842
Q30880545,Q30880545
Q30880545,Q105745212
Q11163656,Q11163656
Q3587147,Q3587147
Q24410897,Q24410897
Q24410897,Q60527676
Q59009655,Q59009655
Q104776655,Q104776655
Q24534551,Q24534551
Q180253,Q180253
Q180253,Q461049
Q180253,Q899342
Q180253,Q899619
Q180253,Q900959
Q180253,Q900987
Q180253,Q3904949
Q180253,Q65238449
Q180253,Q109556083
Q180253,Q3388405
Q180253,Q282799
Q180253,Q901910
Q1518315,Q1518315
Q1518315,Q1547505
Q44854,Q44854
Q44854,Q693827
Q44854,Q4804181
