ACE,transitive_cnt,type_label,type,#type_instances,property,property_label,count,also_known,data_type,constraint_label_list,constraint_class_list,tail_cnt
Q537151,22,amnesty law,Q4354526,2,P1269,facet of,1,"topic of, subtopic of, subject in, subitem of, section in, main topic, aspect of",http://wikiba.se/ontology#WikibaseItem,,,{'Q105774620': 1}
Q645883,20727,bombardment,Q678146,105,P276,location,84,"place held, moveable object location, location of item, located in, located, is in, locale, in, based in, region, event location, venue, locality, neighborhood",http://wikiba.se/ontology#WikibaseItem,"['planet', 'orbit', 'mass media', 'park', 'soil', 'tissue', 'geographic region', 'organ system', 'Lagrangian point', 'geographical feature', 'organ', 'club', 'interior space', 'event', 'space', 'educational institution', 'fictional location', 'anatomical structure', 'part', 'location', 'venue', 'event venue', 'extremity', 'mythical place', 'geographic entity', 'shell of an astronomical object', 'everywhere']","['Q634', 'Q4130', 'Q11033', 'Q22698', 'Q36133', 'Q40397', 'Q82794', 'Q188193', 'Q190463', 'Q618123', 'Q712378', 'Q988108', 'Q1299240', 'Q1656682', 'Q2133296', 'Q2385804', 'Q3895768', 'Q4936952', 'Q15989253', 'Q17334923', 'Q17350442', 'Q18674739', 'Q20203388', 'Q24334893', 'Q27096213', 'Q47495022', 'Q89464513']","{'Q515': 25, 'Q747074': 5, 'Q1187811': 3, 'Q1549591': 25, 'Q3199141': 1, 'Q13220204': 1, 'Q13417250': 1, 'Q2074737': 5, 'Q2977': 1, 'Q486972': 8, 'Q15284': 1, 'Q148837': 1, 'Q2264924': 6, 'Q6256': 1, 'Q23442': 3, 'Q33837': 1, 'Q112099': 1, 'Q3624078': 1, 'Q5119': 6, 'Q1852859': 5, 'Q13539802': 4, 'Q17334923': 1, 'Q1637706': 5, 'Q33146843': 4, 'Q50330360': 2, 'Q51929311': 1, 'Q42744322': 1, 'Q85635630': 1, 'Q866196': 3, 'Q1907114': 1, 'Q2039348': 4, 'Q23058': 1, 'Q165': 1, 'Q15089': 1, 'Q3249005': 1, 'Q263639': 1, 'Q21518270': 1, 'Q37800986': 2, 'Q640364': 1, 'Q34843301': 1, 'Q56061': 1, 'Q3024240': 1, 'Q426759': 1, 'Q494721': 1, 'Q1137833': 1, 'Q3327862': 2, 'Q57831': 2, 'Q56557504': 1, 'Q16970': 1, 'Q7930989': 1, 'Q493522': 1, 'Q15273785': 1, 'Q378508': 1, 'Q100341898': 1, 'Q3957': 2, 'Q7897276': 1, 'Q1248784': 3, 'Q41176': 1, 'Q2114972': 1, 'Q41067667': 1, 'Q20202352': 1, 'Q1785071': 1, 'Q532': 1, 'Q123705': 2, 'Q318727': 1, 'Q902814': 1, 'Q766277': 1, 'Q2983893': 1, 'Q3950': 1, 'Q533309': 1, 'Q42723927': 1, 'Q695850': 3, 'Q1420027': 1, 'Q19413015': 1, 'Q44782': 1}"
Q645883,20727,bombardment,Q678146,105,P585,point in time,82,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
Q645883,20727,bombardment,Q678146,105,P17,country,65,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q3624078': 48, 'Q3024240': 7, 'Q6256': 35, 'Q1179466': 1, 'Q15634554': 1, 'Q112099': 4, 'Q41614': 2, 'Q512187': 5, 'Q1489259': 1, 'Q1520223': 3, 'Q5255892': 3, 'Q63791824': 3, 'Q15304003': 9, 'Q1323642': 1, 'Q51576574': 5, 'Q6266': 3, 'Q48349': 2, 'Q611214': 2, 'Q7270': 7, 'Q202686': 2, 'Q1250464': 2, 'Q20181813': 1, 'Q859563': 1, 'Q4209223': 3, 'Q43702': 2, 'Q619610': 2, 'Q13107770': 1, 'Q849866': 1, 'Q123480': 1, 'Q4057683': 1, 'Q26879769': 1, 'Q93352': 1, 'Q164142': 1, 'Q1496967': 1}"
Q645883,20727,bombardment,Q678146,105,P361,part of,54,"merged with, merged into, contained within, chain, in, within, system of, subsystem of, subgroup of, subassembly of, section of, part of-property, meronym of, is part of, element of, component of, collateral branch of, cadet branch of, branch of, assembly of",http://wikiba.se/ontology#WikibaseItem,,,"{'Q8465': 8, 'Q350604': 4, 'Q103495': 11, 'Q11514315': 11, 'Q198': 8, 'Q1348385': 1, 'Q194465': 1, 'Q474138': 1, 'Q180684': 4, 'Q645883': 2, 'Q831663': 4, 'Q1006311': 1, 'Q273976': 1, 'Q5791104': 1, 'Q178561': 1, 'Q718893': 1, 'Q17524420': 1, 'Q109473326': 1, 'Q74817647': 1, 'Q5153967': 1}"
Q645883,20727,bombardment,Q678146,105,P710,participant,21,"suspect, player, participants, event participant, competitor, between, belligerents, attendee, party, accused, agent",http://wikiba.se/ontology#WikibaseItem,"['human', 'cooperative', 'system', 'coalition', 'project', 'interview', 'agreement', 'tournament', 'occurrence', 'process', 'sports competition', 'fictional event', 'group of humans', 'mythical event', 'race result', 'creative work season']","['Q5', 'Q4539', 'Q58778', 'Q124964', 'Q170584', 'Q178651', 'Q321839', 'Q500834', 'Q1190554', 'Q3249551', 'Q13406554', 'Q14136353', 'Q16334295', 'Q24336466', 'Q54933017', 'Q70990126']","{'Q772547': 2, 'Q6256': 2, 'Q465613': 1, 'Q1309121': 1, 'Q3624078': 2, 'Q1520223': 1, 'Q5': 14, 'Q3024240': 1, 'Q176799': 1, 'Q61883': 1}"
Q645883,20727,bombardment,Q678146,105,P1120,number of deaths,12,"qty fatalities, qty deaths, number of fatalities, fatalities, deaths, death toll, death number, death count, dead",http://wikiba.se/ontology#Quantity,"['occurrence', 'fictional event']","['Q1190554', 'Q14136353']",{}
Q645883,20727,bombardment,Q678146,105,P131,located in the administrative territorial entity,11,"locality, town, city, location (administrative territorial entity), located in the territorial entity, located in the administrative unit, located in the administrative territorial entity, located in administrative unit, is located in, is in the ward of, is in the voivodeship of, is in the village of, is in the town of, is in the territory of, is in the state of, is in the shire of, is in the settlement of, is in the rural city of, is in the region of, is in the province of, is in the principal area of, is in the prefecture of, is in the parish of, is in the municipality of, is in the local government area of, is in the Indian reserve of, is in the Indian reservation of, is in the district of, is in the department of, is in the county of, is in the commune of, is in the city of, is in the borough of, is in the arrondissement of, is in the administrative unit, is in the administrative region of, is in administrative unit, Indian reservation, in the administrative unit, in administrative unit, in, happens in, based in, administrative territory, region, state, territory, administrative territorial entity",http://wikiba.se/ontology#WikibaseItem,"['administrative territorial entity', 'fictional administrative territorial entity']","['Q56061', 'Q64034456']","{'Q515': 5, 'Q13417250': 2, 'Q134626': 1, 'Q707813': 1, 'Q1548525': 1, 'Q1549591': 6, 'Q42744322': 1, 'Q2039348': 2, 'Q50330360': 2, 'Q3505887': 1, 'Q640364': 1, 'Q1187811': 1, 'Q34843301': 1, 'Q587089': 1, 'Q681277': 1, 'Q1175512': 1, 'Q1175522': 1, 'Q13218690': 1, 'Q2074737': 1}"
Q2761147,15064,workshop,Q27556165,167,P664,organizer,296,"promoter, organizing body, organized by, organising body, organiser, organised by, event producer, presenter",http://wikiba.se/ontology#WikibaseItem,"['human', 'organization', 'social movement', 'position', 'fictional organization', 'group of humans']","['Q5', 'Q43229', 'Q49773', 'Q4164871', 'Q14623646', 'Q16334295']","{'Q875538': 50, 'Q45400320': 73, 'Q108935461': 7, 'Q1622062': 18, 'Q1767829': 8, 'Q62078547': 12, 'Q856234': 32, 'Q3918': 31, 'Q17028020': 1, 'Q891723': 4, 'Q1320047': 11, 'Q2085381': 13, 'Q2201426': 4, 'Q16917': 3, 'Q1059324': 3, 'Q737498': 5, 'Q180958': 3, 'Q210272': 1, 'Q1663017': 1, 'Q26271642': 4, 'Q57314035': 1, 'Q170584': 7, 'Q194166': 3, 'Q163740': 8, 'Q484652': 2, 'Q15911314': 2, 'Q65956712': 2, 'Q43229': 59, 'Q3488547': 1, 'Q1450531': 1, 'Q15808872': 1, 'Q1224984': 1, 'Q1235234': 1, 'Q5227240': 1, 'Q479716': 1, 'Q107143326': 3, 'Q988108': 8, 'Q7075': 5, 'Q2586205': 5, 'Q3551775': 32, 'Q22806': 12, 'Q2120466': 14, 'Q2208411': 5, 'Q856564': 2, 'Q5': 10, 'Q1371037': 1, 'Q748019': 2, 'Q955824': 2, 'Q15265344': 1, 'Q3457065': 1, 'Q15924535': 4, 'Q31855': 1, 'Q22337472': 5, 'Q177634': 1, 'Q876040': 1, 'Q18812548': 1, 'Q79913': 1, 'Q3550893': 30}"
Q2761147,15064,workshop,Q27556165,167,P2360,intended public,240,"serving, intended audience, for market, for audience of, designed for, created for, audience of, target market, target group, target demographic, target audience, for, made for",http://wikiba.se/ontology#WikibaseItem,"['human', 'animal', 'industry', 'profession', 'student', 'industry', 'phase of human life', 'occupation', 'group of humans', 'content rating category']","['Q5', 'Q729', 'Q8148', 'Q28640', 'Q48282', 'Q268592', 'Q785260', 'Q12737077', 'Q16334295', 'Q23649976']","{'Q28640': 147, 'Q12737077': 182, 'Q4164871': 173, 'Q108300140': 5, 'Q66666607': 28, 'Q1047113': 1, 'Q3922583': 3, 'Q66811410': 3, 'Q216353': 2, 'Q486983': 2}"
Q2761147,15064,workshop,Q27556165,167,P585,point in time,133,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
Q2761147,15064,workshop,Q27556165,167,P1416,affiliation,42,"affiliated to, sister society, affiliated with",http://wikiba.se/ontology#WikibaseItem,"['church building', 'organization', 'project', 'institution', 'Christian movement', 'place of worship', 'institute', 'Christian ministry', 'religious denomination', 'fictional organization', 'association', 'group of humans', 'fictional group of characters', 'fictional gang', 'fictional municipal police', 'fictional place of worship']","['Q16970', 'Q43229', 'Q170584', 'Q178706', 'Q995347', 'Q1370598', 'Q1664720', 'Q1729207', 'Q13414953', 'Q14623646', 'Q15911314', 'Q16334295', 'Q24577840', 'Q56561355', 'Q56670043', 'Q62662717']","{'Q3551775': 29, 'Q15974764': 1, 'Q875538': 12, 'Q45400320': 12}"
