a,b
http://www.wikidata.org/entity/P1636,http://www.wikidata.org/entity/P580
http://www.wikidata.org/entity/P2031,http://www.wikidata.org/entity/P580
http://www.wikidata.org/entity/P7124,http://www.wikidata.org/entity/P580
http://www.wikidata.org/entity/P8555,http://www.wikidata.org/entity/P580
http://www.wikidata.org/entity/P524,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P570,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P576,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P730,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P746,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P2032,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P2669,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P3999,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P7125,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P8554,http://www.wikidata.org/entity/P582
http://www.wikidata.org/entity/P571,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P577,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P582,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P813,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P4602,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P6949,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P7588,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P7589,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P9946,http://www.wikidata.org/entity/P585
http://www.wikidata.org/entity/P2786,http://www.wikidata.org/entity/P625
http://www.wikidata.org/entity/P5140,http://www.wikidata.org/entity/P625
http://www.wikidata.org/entity/P9745,http://www.wikidata.org/entity/P629
http://www.wikidata.org/entity/P9831,http://www.wikidata.org/entity/P629
http://www.wikidata.org/entity/P3269,http://www.wikidata.org/entity/P650
http://www.wikidata.org/entity/P30,http://www.wikidata.org/entity/P706
http://www.wikidata.org/entity/P4614,http://www.wikidata.org/entity/P706
http://www.wikidata.org/entity/P4688,http://www.wikidata.org/entity/P706
http://www.wikidata.org/entity/P682,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P726,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P767,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P823,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P967,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P1346,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P1591,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P1592,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P1593,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P1594,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P1620,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P1923,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P2321,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P2417,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P8031,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P8032,http://www.wikidata.org/entity/P710
http://www.wikidata.org/entity/P991,http://www.wikidata.org/entity/P726
http://www.wikidata.org/entity/P1950,http://www.wikidata.org/entity/P734
http://www.wikidata.org/entity/P6978,http://www.wikidata.org/entity/P734
http://www.wikidata.org/entity/P9139,http://www.wikidata.org/entity/P734
http://www.wikidata.org/entity/P9688,http://www.wikidata.org/entity/P734
http://www.wikidata.org/entity/P9687,http://www.wikidata.org/entity/P735
http://www.wikidata.org/entity/P348,http://www.wikidata.org/entity/P747
http://www.wikidata.org/entity/P5353,http://www.wikidata.org/entity/P749
http://www.wikidata.org/entity/P175,http://www.wikidata.org/entity/P767
http://www.wikidata.org/entity/P1462,http://www.wikidata.org/entity/P790
http://www.wikidata.org/entity/P606,http://www.wikidata.org/entity/P793
http://www.wikidata.org/entity/P832,http://www.wikidata.org/entity/P793
http://www.wikidata.org/entity/P1344,http://www.wikidata.org/entity/P793
http://www.wikidata.org/entity/P9667,http://www.wikidata.org/entity/P793
http://www.wikidata.org/entity/Q111724794,http://www.wikidata.org/entity/P797
http://www.wikidata.org/entity/P185,http://www.wikidata.org/entity/P802
http://www.wikidata.org/entity/P770,http://www.wikidata.org/entity/P828
http://www.wikidata.org/entity/P1478,http://www.wikidata.org/entity/P828
http://www.wikidata.org/entity/P1479,http://www.wikidata.org/entity/P828
http://www.wikidata.org/entity/P4656,http://www.wikidata.org/entity/P854
http://www.wikidata.org/entity/P10225,http://www.wikidata.org/entity/P856
http://www.wikidata.org/entity/P8001,http://www.wikidata.org/entity/P859
http://www.wikidata.org/entity/P8324,http://www.wikidata.org/entity/P859
http://www.wikidata.org/entity/P2517,http://www.wikidata.org/entity/P910
http://www.wikidata.org/entity/P2875,http://www.wikidata.org/entity/P910
http://www.wikidata.org/entity/P3876,http://www.wikidata.org/entity/P910
http://www.wikidata.org/entity/P6112,http://www.wikidata.org/entity/P910
http://www.wikidata.org/entity/P8464,http://www.wikidata.org/entity/P910
http://www.wikidata.org/entity/P520,http://www.wikidata.org/entity/P912
http://www.wikidata.org/entity/P878,http://www.wikidata.org/entity/P912
http://www.wikidata.org/entity/P1202,http://www.wikidata.org/entity/P912
http://www.wikidata.org/entity/P1637,http://www.wikidata.org/entity/P912
http://www.wikidata.org/entity/P1641,http://www.wikidata.org/entity/P912
http://www.wikidata.org/entity/P489,http://www.wikidata.org/entity/P913
http://www.wikidata.org/entity/P547,http://www.wikidata.org/entity/P921
http://www.wikidata.org/entity/P6291,http://www.wikidata.org/entity/P921
http://www.wikidata.org/entity/P6977,http://www.wikidata.org/entity/P921
http://www.wikidata.org/entity/P242,http://www.wikidata.org/entity/P927
http://www.wikidata.org/entity/P2675,http://www.wikidata.org/entity/P941
http://www.wikidata.org/entity/P4765,http://www.wikidata.org/entity/P953
http://www.wikidata.org/entity/P6500,http://www.wikidata.org/entity/P953
http://www.wikidata.org/entity/P1651,http://www.wikidata.org/entity/P963
http://www.wikidata.org/entity/P9869,http://www.wikidata.org/entity/P963
http://www.wikidata.org/entity/P9969,http://www.wikidata.org/entity/P972
http://www.wikidata.org/entity/P5178,http://www.wikidata.org/entity/P973
http://www.wikidata.org/entity/P5715,http://www.wikidata.org/entity/P973
http://www.wikidata.org/entity/P10032,http://www.wikidata.org/entity/P996
http://www.wikidata.org/entity/P654,http://www.wikidata.org/entity/P1013
http://www.wikidata.org/entity/P6,http://www.wikidata.org/entity/P1037
http://www.wikidata.org/entity/P169,http://www.wikidata.org/entity/P1037
http://www.wikidata.org/entity/P488,http://www.wikidata.org/entity/P1037
http://www.wikidata.org/entity/P1075,http://www.wikidata.org/entity/P1037
http://www.wikidata.org/entity/P8938,http://www.wikidata.org/entity/P1037
http://www.wikidata.org/entity/P26,http://www.wikidata.org/entity/P1038
http://www.wikidata.org/entity/P40,http://www.wikidata.org/entity/P1038
http://www.wikidata.org/entity/P1290,http://www.wikidata.org/entity/P1038
http://www.wikidata.org/entity/P3373,http://www.wikidata.org/entity/P1038
