class	superclass
Q2620513	Q2620513
Q2620513	Q2235325
Q2620513	Q3839081
Q2620513	Q11549517
Q2620513	Q11822042
Q2620513	Q813912
Q2620513	Q1132455
Q2620513	Q1190554
Q2620513	Q1920219
Q2620513	Q1931388
Q2620513	Q3505845
Q2620513	Q5422048
Q2620513	Q86923152
Q2620513	Q26907166
Q2620513	Q621184
Q2620513	Q2574811
Q2620513	Q171558
Q2620513	Q43339602
Q2620513	Q65091757
Q2620513	Q18669875
Q2620513	Q31464082
Q2620513	Q483247
Q2620513	Q937228
Q2620513	Q104493
Q2620513	Q58415929
Q2620513	Q18603648
Q2620513	Q21170479
Q2620513	Q188572
Q2620513	Q35120
Q2620513	Q1207505
Q2620513	Q488383
Q2620513	Q42848
Q2620513	Q2684591
Q2620513	Q11028
Q2620513	Q108163
Q2620513	Q7184903
Q2620513	Q246672
Q2620513	Q474328
Q2620513	Q41796
Q2620513	Q7048977
Q2620513	Q1786828
Q2620513	Q9380010
Q2620513	Q15916540
Q2620513	Q5371079
Q2620513	Q628523
Q2620513	Q183046
Q2620513	Q20817253
Q2620513	Q16877783
Q2620513	Q16889133
Q2620513	Q29651519
Q2620513	Q99527517
Q1078765	Q1078765
Q1078765	Q4202290
Q1078765	Q11822042
Q1078765	Q18669875
Q1078765	Q171558
Q1078765	Q43339602
Q1078765	Q65091757
Q1078765	Q1190554
Q1078765	Q1132455
Q1078765	Q5422048
Q1078765	Q86923152
Q1078765	Q26907166
Q1078765	Q104493
Q1078765	Q58415929
Q1078765	Q18603648
Q1078765	Q31464082
Q1078765	Q21170479
Q1078765	Q813912
Q1078765	Q1207505
Q1078765	Q488383
Q1078765	Q35120
Q1078765	Q3505845
Q1078765	Q937228
Q1078765	Q483247
Q1078765	Q188572
Q1078765	Q42848
Q1078765	Q2684591
Q1078765	Q11028
Q1078765	Q108163
Q1078765	Q7184903
Q1078765	Q246672
Q1078765	Q474328
Q1078765	Q41796
Q1078765	Q7048977
Q1078765	Q1786828
Q1078765	Q9380010
Q1078765	Q15916540
Q1078765	Q5371079
Q1078765	Q628523
Q1078765	Q183046
Q1078765	Q20817253
Q1078765	Q16877783
Q1078765	Q16889133
Q1078765	Q29651519
Q1078765	Q99527517
Q1174599	Q1174599
Q1174599	Q124490
Q1174599	Q4026292
Q1174599	Q1456832
Q1174599	Q1914636
Q1174599	Q1190554
Q1174599	Q26907166
Q1174599	Q3537603
Q1174599	Q6765918
Q1174599	Q20937557
Q1174599	Q567555
Q1174599	Q16887380
Q1174599	Q58415929
Q1174599	Q104493
Q1174599	Q849149
